178 Stykkishólmur Meðalhiti
nr	ar	 man	   t	mat
178	1987	11	 4.2	6
178	1987	12	 3.0	6
178	1988	 1	-2.7	6
178	1988	 2	-1.4	6
178	1988	 3	-1.8	6
178	1988	 4	-0.8	6
178	1988	 5	 5.7	6
178	1988	 6	 8.2	6
178	1988	 7	 9.5	6
178	1988	 8	 9.8	6
178	1988	 9	 6.4	6
178	1988	10	 3.9	6
178	1988	11	 2.8	6
178	1988	12	 0.4	6
178	1989	 1	-0.9	6
178	1989	 2	-3.5	6
178	1989	 3	-1.7	6
178	1989	 4	 0.8	6
178	1989	 5	 4.0	6
178	1989	 6	 8.3	6
178	1989	 7	 9.8	6
178	1989	 8	 9.5	6
178	1989	 9	 6.8	6
178	1989	10	 4.9	6
178	1989	11	 2.1	6
178	1989	12	 0.1	6
178	1990	 1	-0.1	6
178	1990	 2	-1.8	6
178	1990	 3	-2.3	6
178	1990	 4	-0.3	6
178	1990	 5	 6.2	6
178	1990	 6	 9.1	6
178	1990	 7	11.2	6
178	1990	 8	10.6	6
178	1990	 9	 6.4	6
178	1990	10	 4.6	6
178	1990	11	 3.5	6
178	1990	12	-0.1	6
178	1991	 1	 1.1	6
178	1991	 2	 1.1	6
178	1991	 3	 1.4	6
178	1991	 4	 0.7	6
178	1991	 5	 6.5	6
178	1991	 6	 7.9	6
178	1991	 7	11.8	6
178	1991	 8	10.8	6
178	1991	 9	 7.4	6
178	1991	10	 4.3	6
178	1991	11	 0.3	6
178	1991	12	 1.2	6
178	1992	 1	 2.4	6
178	1992	 2	-0.8	6
178	1992	 3	-0.2	6
178	1992	 4	 1.7	6
178	1992	 5	 5.0	6
178	1992	 6	 7.9	6
178	1992	 7	 9.1	6
178	1992	 8	 9.2	6
178	1992	 9	 6.5	6
178	1992	10	 4.6	6
178	1992	11	 1.3	6
178	1992	12	-0.5	6
178	1993	 1	-2.9	6
178	1993	 2	 0.2	6
178	1993	 3	 0.9	6
178	1993	 4	 2.9	6
178	1993	 5	 4.5	6
178	1993	 6	 8.0	6
178	1993	 7	 8.6	6
178	1993	 8	 8.8	6
178	1993	 9	 8.5	6
178	1993	10	 4.5	6
178	1993	11	 3.2	6
178	1993	12	-1.7	6
178	1994	 1	-2.3	6
178	1994	 2	 0.2	6
178	1994	 3	-1.6	6
178	1994	 4	 0.9	6
178	1994	 5	 6.0	6
178	1994	 6	 7.0	6
178	1994	 7	11.0	6
178	1994	 8	10.2	6
178	1994	 9	 6.7	6
178	1994	10	 2.5	6
178	1994	11	 1.2	6
178	1994	12	-1.1	6
178	1995	 1	-2.9	6
178	1995	 2	-3.1	6
178	1995	 3	-2.5	6
178	1995	 4	 0.4	6
178	1995	 5	 4.0	6
178	1995	 6	 8.2	6
178	1995	 7	 9.2	6
178	1995	 8	10.4	6
178	1995	 9	 7.7	6
178	1995	10	 2.9	6
178	1995	11	 1.8	6
178	1995	12	-0.7	6
178	1996	 1	 0.7	6
178	1996	 2	-1.1	6
178	1996	 3	 2.2	6
178	1996	 4	 2.6	6
178	1996	 5	 6.0	6
178	1996	 6	 8.6	6
178	1996	 7	10.6	6
178	1996	 8	 9.9	6
178	1996	 9	10.4	6
178	1996	10	 3.9	6
178	1996	11	-1.5	6
178	1996	12	-0.2	6
178	1997	 1	 0.0	6
178	1997	 2	-2.0	6
178	1997	 3	-1.5	6
178	1997	 4	 2.8	6
178	1997	 5	 4.5	6
178	1997	 6	 7.2	6
178	1997	 7	11.3	6
178	1997	 8	10.2	6
178	1997	 9	 7.6	6
178	1997	10	 4.7	6
178	1997	11	 2.8	6
178	1997	12	 1.9	6
178	1998	 1	 0.5	6
178	1998	 2	-1.8	6
178	1998	 3	-2.2	6
178	1998	 4	 2.0	6
178	1998	 5	 5.7	6
178	1998	 6	 8.1	6
178	1998	 7	 9.4	6
178	1998	 8	10.8	6
178	1998	 9	 7.4	6
178	1998	10	 2.8	6
178	1998	11	 1.5	6
178	1998	12	 0.6	6
178	1999	 1	-0.6	6
178	1999	 2	-1.6	6
178	1999	 3	-2.4	6
178	1999	 4	 1.2	6
178	1999	 5	 5.6	6
178	1999	 6	 8.6	6
178	1999	 7	10.6	6
178	1999	 8	10.7	6
178	1999	 9	 7.2	6
178	1999	10	 4.9	6
178	1999	11	 1.9	6
178	1999	12	-1.0	6
178	2000	 1	 0.7	6
178	2000	 2	-1.2	6
178	2000	 3	-0.2	6
178	2000	 4	 1.2	6
178	2000	 5	 5.8	6
178	2000	 6	 8.3	6
178	2000	 7	11.0	6
178	2000	 8	10.7	6
178	2000	 9	 8.0	6
178	2000	10	 4.1	6
178	2000	11	 1.2	6
178	2000	12	-0.6	6
178	2001	 1	 0.9	6
178	2001	 2	-0.7	6
178	2001	 3	-2.4	6
178	2001	 4	 1.8	6
178	2001	 5	 5.9	6
178	2001	 6	 8.1	6
178	2001	 7	 9.9	6
178	2001	 8	10.4	6
178	2001	 9	 8.9	6
178	2001	10	 5.2	6
178	2001	11	 1.8	6
178	2001	12	 2.4	6
178	2002	 1	 0.3	6
178	2002	 2	-4.2	6
178	2002	 3	-1.8	6
178	2002	 4	 2.5	6
178	2002	 5	 5.0	6
178	2002	 6	 9.1	6
178	2002	 7	10.1	6
178	2002	 8	 9.9	6
178	2002	 9	 8.9	6
178	2002	10	 5.1	6
178	2002	11	 3.6	6
178	2002	12	 3.9	6
178	2003	 1	 0.8	6
178	2003	 2	 1.5	6
178	2003	 3	 2.7	6
178	2003	 4	 4.9	6
178	2003	 5	 5.6	6
178	2003	 6	10.2	6
178	2003	 7	11.0	6
178	2003	 8	12.3	6
178	2003	 9	 8.4	6
178	2003	10	 5.0	6
178	2003	11	 2.3	6
178	2003	12	 0.1	6
178	2004	 1	-1.1	6
178	2004	 2	 0.6	6
178	2004	 3	 3.3	6
178	2004	 4	 3.9	6
178	2004	 5	 6.2	6
178	2004	 6	 9.7	6
178	2004	 7	11.3	6
178	2004	 8	12.0	6
178	2004	 9	 8.8	6
178	2004	10	 3.9	6
178	2004	11	 1.5	6
178	2004	12	-0.8	6
178	2005	 1	-0.5	6
178	2005	 2	 1.1	6
178	2005	 3	 2.6	6
178	2005	 4	 3.1	6
178	2005	 5	 4.8	6
178	2005	 6	 9.2	6
178	2005	 7	11.4	6
178	2005	 8	 9.9	6
178	2005	 9	 5.4	6
178	2005	10	 1.9	6
178	2005	11	 1.1	6
178	2005	12	 1.7	6
178	2006	 1	 1.5	6
178	2006	 2	 2.0	6
178	2006	 3	 0.5	6
178	2006	 4	 1.5	6
178	2006	 5	 5.0	6
178	2006	 6	 8.9	6
178	2006	 7	10.4	6
178	2006	 8	11.1	6
178	2006	 9	 8.4	6
178	2006	10	 3.9	6
178	2006	11	 0.3	6
178	2006	12	 2.1	6
178	2007	 1	-0.5	6
178	2007	 2	-1.1	6
178	2007	 3	 1.3	6
178	2007	 4	 4.2	6
178	2007	 5	 4.2	6
178	2007	 6	10.5	6
178	2007	 7	11.4	6
178	2007	 8	10.3	6
178	2007	 9	 7.6	6
178	2007	10	 5.4	6
178	2007	11	 2.7	6
178	2007	12	 1.2	6
178	2008	 1	-0.8	6
178	2008	 2	-0.5	6
178	2008	 3	-0.2	6
178	2008	 4	 2.5	6
178	2008	 5	 7.5	6
178	2008	 6	 9.5	6
178	2008	 7	12.0	6
178	2008	 8	11.1	6
178	2008	 9	 9.2	6
178	2008	10	 3.2	6
178	2008	11	 2.2	6
178	2008	12	 0.8	6
178	2009	 1	 1.1	6
178	2009	 2	-0.9	6
178	2009	 3	-0.4	6
178	2009	 4	 3.1	6
178	2009	 5	 6.9	6
178	2009	 6	 9.4	6
178	2009	 7	11.4	6
178	2009	 8	10.7	6
178	2009	 9	 7.9	6
178	2009	10	 4.2	6
178	2009	11	 2.1	6
178	2009	12	 0.8	6
178	2010	 1	 2.1	6
178	2010	 2	-0.5	6
178	2010	 3	 2.0	6
178	2010	 4	 2.4	6
178	2010	 5	 6.8	6
178	2010	 6	10.8	6
178	2010	 7	11.9	6
178	2010	 8	11.7	6
178	2010	 9	 9.9	6
178	2010	10	 5.8	6
178	2010	11	 0.5	6
178	2010	12	 0.9	6
178	2011	 1	 1.0	6
178	2011	 2	 1.3	6
178	2011	 3	-0.8	6
178	2011	 4	 3.9	6
178	2011	 5	 5.1	6
178	2011	 6	 7.2	6
178	2011	 7	11.5	6
178	2011	 8	10.3	6
178	2011	 9	 8.3	6
178	2011	10	 4.4	6
178	2011	11	 3.5	6
178	2011	12	-2.0	6
178	2012	 1	 0.4	6
178	2012	 2	 2.0	6
178	2012	 3	 2.7	6
178	2012	 4	 3.5	6
178	2012	 5	 5.9	6
178	2012	 6	 9.7	6
178	2012	 7	11.8	6
178	2012	 8	11.4	6
178	2012	 9	 7.0	6
178	2012	10	 4.0	6
178	2012	11	 0.6	6
178	2012	12	 0.5	6
178	2013	 1	 2.2	6
178	2013	 2	 3.1	6
178	2013	 3	 0.1	6
178	2013	 4	 1.0	6
178	2013	 5	 5.0	6
178	2013	 6	 9.7	6
178	2013	 7	10.3	6
178	2013	 8	 9.9	6
178	2013	 9	 6.7	6
178	2013	10	 4.1	6
178	2013	11	 1.6	6
178	2013	12	-0.8	6
178	2014	 1	 1.0	6
178	2014	 2	 0.6	6
178	2014	 3	 1.2	6
178	2014	 4	 3.6	6
178	2014	 5	 7.2	6
178	2014	 6	10.9	6
178	2014	 7	11.3	6
178	2014	 8	10.9	6
178	2014	 9	 9.4	6
178	2014	10	 3.9	6
178	2014	11	 4.3	6
178	2014	12	-0.4	6
178	2015	 1	-0.2	6
178	2015	 2	-0.4	6
178	2015	 3	 0.6	6
178	2015	 4	 2.1	6
178	2015	 5	 3.9	6
178	2015	 6	 8.3	6
178	2015	 7	 9.3	6
178	2015	 8	 9.4	6
178	2015	 9	 9.1	6
178	2015	10	 5.0	6
178	2015	11	 2.2	6
178	2015	12	-0.3	6
